,game_id,team_id,won,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,Game_away,Game_home,Game_OT,Game_REG,Game_SO
75,2012030166,17,1,4,29,24,0,3,1,53.1,12,4,0,1,1,0,0
76,2012030167,17,1,3,32,18,10,2,0,50.6,5,9,1,0,0,1,0
77,2012030167,24,0,2,33,34,6,4,1,49.4,9,4,0,1,0,1,0
78,2012030111,2,0,0,26,41,51,4,0,51.6,4,3,1,0,0,1,0
79,2012030111,5,1,5,26,36,38,4,2,48.4,2,7,0,1,0,1,0
80,2012030112,2,1,4,42,31,15,4,1,39.0,2,4,1,0,0,1,0
81,2012030112,5,0,3,33,28,15,4,1,61.0,11,4,0,1,0,1,0
82,2012030113,5,1,5,25,33,8,5,3,47.5,8,6,1,0,1,0,0
83,2012030113,2,0,4,36,35,12,3,0,52.5,14,19,0,1,1,0,0
84,2012030114,5,0,4,31,26,15,2,0,46.3,12,10,1,0,0,1,0
85,2012030114,2,1,6,24,33,11,4,1,53.7,8,13,0,1,0,1,0
86,2012030115,2,0,0,31,27,36,2,0,36.2,2,4,1,0,0,1,0
87,2012030115,5,1,4,31,33,30,5,1,63.8,8,5,0,1,0,1,0
88,2012030116,5,1,4,21,23,6,1,0,39.7,10,6,1,0,1,0,0
89,2012030116,2,0,3,38,31,2,3,0,60.3,7,15,0,1,1,0,0
90,2012030131,3,0,1,36,41,12,4,0,48.4,7,9,1,0,0,1,0
91,2012030131,15,1,3,30,32,10,5,1,51.6,11,6,0,1,0,1,0
92,2012030132,3,0,0,24,58,8,3,0,48.6,7,5,1,0,1,0,0
93,2012030132,15,1,1,38,50,10,2,1,51.4,8,11,0,1,1,0,0
94,2012030133,15,0,3,31,22,12,3,0,52.6,6,4,1,0,0,1,0
95,2012030133,3,1,4,30,33,6,6,1,47.4,13,11,0,1,0,1,0
96,2012030134,15,0,3,30,20,8,2,0,35.8,9,2,1,0,0,1,0
97,2012030134,3,1,4,34,38,4,4,1,64.2,4,8,0,1,0,1,0
98,2012030135,3,0,1,25,43,4,4,0,41.7,14,9,1,0,1,0,0
99,2012030135,15,1,2,35,53,8,2,1,58.3,13,13,0,1,1,0,0
100,2012030136,15,0,0,27,28,14,0,0,40.0,5,3,1,0,0,1,0
101,2012030136,3,1,1,29,33,4,5,0,60.0,7,6,0,1,0,1,0
102,2012030137,3,1,5,27,41,4,2,0,40.6,8,6,1,0,0,1,0
103,2012030137,15,0,0,35,39,14,2,0,59.4,7,7,0,1,0,1,0
104,2012030321,26,0,1,22,44,8,2,0,51.6,6,6,1,0,0,1,0
105,2012030321,16,1,2,36,38,4,4,0,48.4,10,18,0,1,0,1,0
106,2012030322,26,0,2,31,46,8,5,1,50.8,4,3,1,0,0,1,0
107,2012030322,16,1,4,26,36,14,2,1,49.2,8,8,0,1,0,1,0
108,2012030323,16,0,1,20,26,12,2,0,41.4,15,1,1,0,0,1,0
109,2012030323,26,1,3,28,36,6,5,0,58.6,11,7,0,1,0,1,0
110,2012030324,16,1,3,28,17,6,4,0,44.2,3,4,1,0,0,1,0
111,2012030324,26,0,2,21,31,8,3,0,55.8,8,1,0,1,0,1,0
112,2012030325,26,0,3,36,62,4,2,1,55.7,8,8,1,0,1,0,0
113,2012030325,16,1,4,35,42,4,2,0,44.3,6,15,0,1,1,0,0
114,2016030171,20,0,2,32,33,14,5,1,37.2,11,8,1,0,0,1,0
115,2016030171,24,1,3,41,30,10,7,2,62.8,12,5,0,1,0,1,0
116,2016030172,20,0,2,37,34,17,3,1,41.2,11,5,1,0,0,1,0
117,2016030172,24,1,3,29,38,15,4,1,58.8,21,4,0,1,0,1,0
118,2016030173,24,1,5,27,23,12,0,0,47.3,5,4,1,0,1,0,0
119,2016030173,20,0,4,32,28,2,5,3,52.7,10,6,0,1,1,0,0
120,2016030174,24,1,3,25,15,6,2,0,42.1,6,6,1,0,0,1,0
121,2016030174,20,0,1,37,28,4,3,1,57.9,9,7,0,1,0,1,0
122,2014030411,16,1,2,21,21,4,3,0,47.4,11,5,1,0,0,1,0
123,2014030411,14,0,1,23,29,6,2,0,52.6,12,5,0,1,0,1,0
124,2014030412,16,0,3,29,28,6,3,1,64.8,8,4,1,0,0,1,0
125,2014030412,14,1,4,24,33,6,3,1,35.2,11,6,0,1,0,1,0
126,2014030413,14,1,3,32,46,6,2,0,41.8,10,7,1,0,0,1,0
127,2014030413,16,0,2,38,27,6,2,1,58.2,14,9,0,1,0,1,0
128,2014030414,14,0,1,25,46,6,4,0,34.5,5,7,1,0,0,1,0
129,2014030414,16,1,2,19,34,8,3,0,65.5,16,7,0,1,0,1,0
130,2014030415,16,1,2,29,15,2,2,0,58.1,9,11,1,0,0,1,0
131,2014030415,14,0,1,32,37,4,1,0,41.9,13,9,0,1,0,1,0
132,2014030416,14,0,0,25,56,6,1,0,32.3,10,5,1,0,0,1,0
133,2014030416,16,1,2,32,32,2,3,0,67.7,10,7,0,1,0,1,0
134,2015030141,3,0,2,37,50,10,5,1,48.5,2,3,1,0,0,1,0
135,2015030141,5,1,5,31,35,10,5,1,51.5,10,4,0,1,0,1,0
136,2015030142,3,1,4,28,57,19,3,0,44.3,3,3,1,0,0,1,0
137,2015030142,5,0,2,31,25,15,5,2,55.7,10,2,0,1,0,1,0
138,2015030143,5,1,3,31,30,12,3,1,53.2,5,6,1,0,0,1,0
139,2015030143,3,0,1,17,41,10,4,0,46.8,11,11,0,1,0,1,0
140,2015030144,5,1,5,32,22,10,6,3,42.3,9,8,1,0,0,1,0
141,2015030144,3,0,0,31,29,14,4,0,57.7,17,8,0,1,0,1,0
142,2015030145,3,0,3,41,47,6,3,1,63.5,5,5,1,0,0,1,0
143,2015030145,5,1,6,28,31,8,2,1,36.5,6,9,0,1,0,1,0
144,2015030181,28,1,4,23,32,6,4,1,54.2,8,2,1,0,0,1,0
145,2015030181,26,0,3,24,36,8,3,1,45.8,20,4,0,1,0,1,0
146,2015030182,28,1,2,23,40,10,5,1,39.7,7,2,1,0,0,1,0
147,2015030182,26,0,1,27,47,10,5,1,60.3,14,0,0,1,0,1,0
148,2015030183,26,1,2,24,61,12,3,1,56.5,8,5,1,0,1,0,0
149,2015030183,28,0,1,30,39,8,5,0,43.5,17,11,0,1,1,0,0
150,2015030184,26,0,2,28,46,8,2,0,49.1,13,6,1,0,0,1,0
151,2015030184,28,1,3,29,35,4,4,3,50.9,17,7,0,1,0,1,0
152,2015030185,28,1,6,28,30,2,3,0,41.4,11,1,1,0,0,1,0
153,2015030185,26,0,3,22,39,6,1,0,58.6,16,1,0,1,0,1,0
154,2013030161,16,0,3,42,27,8,6,1,56.9,12,6,1,0,1,0,0
155,2013030161,19,1,4,52,42,12,4,0,43.1,8,16,0,1,1,0,0
156,2013030162,16,0,3,28,18,41,4,0,51.4,1,8,1,0,1,0,0
157,2013030162,19,1,4,31,26,20,9,1,48.6,1,8,0,1,1,0,0
158,2013030163,19,0,0,34,41,8,3,0,40.9,3,9,1,0,0,1,0
159,2013030163,16,1,2,25,27,6,4,0,59.1,13,3,0,1,0,1,0
160,2013030164,19,0,3,33,42,6,5,1,47.6,4,10,1,0,1,0,0
161,2013030164,16,1,4,34,32,12,2,1,52.4,13,6,0,1,1,0,0
162,2013030165,16,1,3,30,17,6,2,0,47.0,3,11,1,0,1,0,0
163,2013030165,19,0,2,29,54,6,2,0,53.0,3,9,0,1,1,0,0
164,2013030166,19,0,1,36,43,6,6,0,49.3,5,5,1,0,0,1,0
165,2013030166,16,1,5,27,22,12,2,1,50.7,7,2,0,1,0,1,0
166,2015030131,4,0,0,19,26,35,4,0,54.4,9,7,1,0,0,1,0
167,2015030131,15,1,2,31,29,21,6,1,45.6,5,7,0,1,0,1,0
168,2015030132,4,0,1,42,36,8,4,0,46.8,7,7,1,0,0,1,0
169,2015030132,15,1,4,23,38,12,2,2,53.2,9,5,0,1,0,1,0
170,2015030133,15,1,6,27,26,14,9,5,44.1,5,10,1,0,0,1,0
